Wall time,Step,Value
1733279304.3869905,65536,9950.756836
1733279391.1469646,131072,9767.400391
1733279478.3048782,196608,9737.799805
1733279565.272622,262144,10000
1733279652.3813274,327680,9905.923828
1733279739.508301,393216,9810.082031
1733279826.412528,458752,9904.158203
1733280303.4525197,524288,9979.900391
1733280390.190158,589824,9926.459961
1733280477.144195,655360,9921.961914
1733280564.3516726,720896,9921.961914
1733280651.2173524,786432,10000
1733280738.0530527,851968,9790.71875
1733280824.9107568,917504,9877.516602
1733280911.528886,983040,10000
1733281395.9022808,1048576,9900.700195
1733281482.7074914,1114112,9900.700195
1733281569.869203,1179648,9896.700195
1733281656.6402743,1245184,10000
1733281743.704853,1310720,10000
1733281830.4203997,1376256,10000
1733281917.336643,1441792,10000
1733282401.8962798,1507328,9915.15332
1733282489.040977,1572864,9948.799805
1733282576.3082101,1638400,9829.68457
1733282663.2301939,1703936,9909.161133
1733282750.2208402,1769472,10000
1733282837.1987817,1835008,9967.799805
1733282924.3184257,1900544,10000.00684
1733283011.3554728,1966080,9931.816406
1733283496.4191263,2031616,9753.982422
1733283583.3940916,2097152,9822.166016
1733283670.2642355,2162688,9914.342773
1733283756.8010497,2228224,9968.700195
1733283844.2422278,2293760,9849.804688
1733283931.1921685,2359296,9848.935547
1733284017.746748,2424832,9850.393555
1733284104.6414292,2490368,9847.779297
1733284590.2663786,2555904,9920.878906
1733284677.3354876,2621440,9848.460938
1733284764.1735191,2686976,9758.799805
1733284851.2849398,2752512,9901.099609
1733284938.6939452,2818048,9900.799805
1733285025.9621875,2883584,9900.799805
1733285113.6918108,2949120,10000
1733285600.7970474,3014656,9807.299805
1733285688.0524445,3080192,10000
1733285775.6211777,3145728,10000
1733285862.7202413,3211264,10000
1733285949.6649783,3276800,10000
1733286036.7077813,3342336,10000
1733286123.9792495,3407872,10000
1733286211.1039944,3473408,10000
1733286699.1866257,3538944,10000
1733286786.4140625,3604480,10000
1733286873.5466025,3670016,10000
1733286960.652177,3735552,9908.116211
1733287047.5968792,3801088,9739.564453
1733287134.7736773,3866624,9918.900391
1733287221.700063,3932160,9905.599609
1733287308.768076,3997696,9835.555664
1733287796.828387,4063232,9929.955078
1733287883.8502748,4128768,9820.34082
1733287971.2953775,4194304,9903.354492
1733288058.237472,4259840,9815.600586
1733288145.5060167,4325376,10000
1733288232.5266728,4390912,10000
1733288319.6433368,4456448,10000
1733288804.2789838,4521984,9793.358398
1733288891.6741233,4587520,9600.771484
1733288978.8049574,4653056,9471.649414
1733289066.732214,4718592,9450.554688
1733289153.8148696,4784128,9726.850586
1733289241.0328805,4849664,9642.698242
1733289327.9549713,4915200,9738.325195
1733289415.643151,4980736,9682.31543
1733289903.3946242,5046272,9561.901367
1733289990.3374984,5111808,9623.78418
1733290077.3104162,5177344,9919.376953
1733290164.536863,5242880,9804.53418
1733290251.5415869,5308416,9901.099609
1733290338.7638075,5373952,10000
1733290425.9374707,5439488,10000
1733290910.9981534,5505024,9726.786133
1733290998.4581978,5570560,9895.900391
1733291085.8723037,5636096,10000
1733291173.0307853,5701632,9913.364258
1733291260.3674402,5767168,9785.999023
1733291347.5616634,5832704,9720.083008
1733291434.911325,5898240,9634.677734
1733291521.8524787,5963776,9803.568359
1733292007.9529982,6029312,10000
1733292095.0142083,6094848,9930.700195
1733292181.925401,6160384,10000
1733292269.894218,6225920,9915.613281
1733292357.2557485,6291456,9974.900391
1733292442.907798,6356992,9732.28418
1733292530.3784416,6422528,9913.5
1733292617.6838202,6488064,9913.5
1733293102.1550808,6553600,9542.216797
1733293188.988281,6619136,9461.792969
1733293275.9376109,6684672,9918.983398
1733293363.445766,6750208,9652.821289
1733293450.7004833,6815744,9650.106445
1733293537.9388661,6881280,9287.084961
1733293624.7741303,6946816,9653.679688
1733294110.7102613,7012352,9633.599609
1733294197.687629,7077888,9492.914063
1733294284.9741898,7143424,9747.276367
1733294372.3516946,7208960,9396.083984
1733294459.4544737,7274496,9834.869141
1733294546.4443533,7340032,10000
1733294633.3102467,7405568,9906.033203
1733294720.4588382,7471104,9741.864258
1733295206.5182064,7536640,9915.387695
1733295293.7603395,7602176,9822.280273
1733295380.8594835,7667712,9819.490234
1733295468.1507497,7733248,9921.463867
1733295555.1894255,7798784,9654.624023
1733295643.3198056,7864320,9753.923828
1733295730.287565,7929856,9900.599609
1733295817.2155442,7995392,9629.522461
1733296302.7603636,8060928,9821.299805
1733296389.781444,8126464,9912.400391
1733296476.697401,8192000,9907.724609
1733296564.2084126,8257536,9824.477539
1733296650.9753428,8323072,9870.526367
1733296737.856535,8388608,9737.969727
1733296825.0310166,8454144,9415.194336
1733297312.4524603,8519680,9588.814453
1733297399.9301562,8585216,9534.31543
1733297487.301358,8650752,9910.908203
1733297573.9621787,8716288,9856.957031
1733297661.356378,8781824,9488.911133
1733297748.5311322,8847360,9358.03418
1733297835.7776568,8912896,9678.259766
1733297923.1355011,8978432,9659.799805
1733298407.1905055,9043968,9858.099609
1733298494.2848222,9109504,9988.598633
1733298581.5101962,9175040,9799.079102
1733298668.783464,9240576,9729.616211
1733298756.1375844,9306112,9917.599609
1733298842.9839222,9371648,9822.0625
1733298930.3161173,9437184,9823.743164
1733299416.2029774,9502720,9987.879883
1733299503.400356,9568256,9919.018555
1733299590.3589578,9633792,9841.519531
1733299677.6031883,9699328,9799.401367
1733299764.5460913,9764864,9746.359375
1733299851.8639877,9830400,9730.520508
1733299938.8436668,9895936,9819.026367
1733300025.8301294,9961472,9449.9375
1733300511.356579,10027008,9456.214844
