Wall time,Step,Value
1733423949.6197639,3096000,423.2890625
1733423963.646196,3112000,413.3690490722656
1733424018.820694,3176000,403.5037536621094
1733424032.6600266,3192000,401.02484130859375
1733424060.1653204,3224000,396.13433837890625
1733424074.0816936,3240000,1048.280517578125
1733424087.811025,3256000,391.2615966796875
1733424129.092228,3304000,384.0287780761719
1733424142.8687747,3320000,381.53643798828125
1733424156.6287897,3336000,379.2236022949219
1733424211.5436716,3400000,369.76153564453125
1733424725.310529,3528000,351.4727783203125
1733424739.1637802,3544000,349.2304382324219
1733424766.616931,3576000,344.7821350097656
1733424822.0329418,3640000,335.8135070800781
1733424849.4574647,3672000,331.4336242675781
1733424877.1213603,3704000,327.208984375
1733424891.038345,3720000,324.9519958496094
1733424918.6215987,3752000,320.7652893066406
1733424946.4522355,3784000,321.9273986816406
1733424960.431719,3800000,314.6468811035156
1733425001.9945164,3848000,308.6822814941406
1733425015.911661,3864000,306.54296875
1733425029.6876838,3880000,304.43511962890625
1733425043.464554,3896000,302.46295166015625
1733425057.3805697,3912000,300.37945556640625
1733425098.8189347,3960000,294.54351806640625
1733425112.6893427,3976000,29379.87109375
1733425538.0247495,4000000,289.8933410644531
1733425558.8727312,4024000,286.37237548828125
1733425572.8501697,4040000,12462.478515625
1733425586.720553,4056000,29386.166015625
1733425600.5123804,4072000,3061.93798828125
1733425642.2509682,4120000,274.75103759765625
1733425655.9965346,4136000,21142.0859375
1733425669.9129426,4152000,270.8009338378906
1733425683.76781,4168000,3624.516357421875
1733425711.4922178,4200000,4014.760498046875
1733425753.227013,4248000,259.5630798339844
1733425822.5110729,4328000,250.4440460205078
1733425836.4577916,4344000,252.23831176757812
1733425850.2654977,4360000,246.9569091796875
1733425864.1032884,4376000,260.2462463378906
1733425878.0044882,4392000,265.0797119140625
1733425891.8115778,4408000,242.2783203125
1733425961.0675094,4488000,357.94329833984375
1733426462.0484407,4600000,221.9069366455078
1733426503.530192,4648000,32994.3671875
1733426517.3682237,4664000,7124.8564453125
1733426611.4340196,4776000,204.46572875976562
