Wall time,Step,Value
1733439168.9794626,12712000,9581.9072265625
1733439199.8790846,12744000,9511.13671875
1733439230.1053505,12776000,9450.123046875
1733439245.3062668,12792000,9300.8583984375
1733439260.4742346,12808000,9233.5830078125
1733439305.9645934,12856000,9170.138671875
1733439365.8880026,12920000,9602.2705078125
1733439380.3518515,12936000,9405.8623046875
1733439411.1872733,12968000,9563.359375
1733439426.202177,12984000,9379.748046875
1733439601.061963,13016000,9040.974609375
1733439661.2345989,13080000,8697.5732421875
1733439738.6857784,13160000,8132.7060546875
1733439846.7363095,13272000,5812.45947265625
1733439861.9955907,13288000,6021.12353515625
1733439892.8119109,13320000,5560.25390625
1733439908.281026,13336000,5470.71337890625
1733439923.2621238,13352000,5214.12353515625
1733439938.6007738,13368000,5402.56689453125
1733439954.2080736,13384000,5510.681640625
1733439969.644879,13400000,5525.654296875
1733440000.656355,13432000,5964.23681640625
1733440016.3849823,13448000,6287.9306640625
1733440194.4194539,13512000,6219.8330078125
1733440209.8731327,13528000,6365.1201171875
1733440240.6468782,13560000,6421.24658203125
1733440271.5194802,13592000,6967.29296875
1733440317.213733,13640000,6909.49951171875
1733440348.7541218,13672000,7144.62451171875
1733440363.9684448,13688000,7475.8759765625
1733440379.5293202,13704000,7746.77392578125
1733440426.056701,13752000,7316.31201171875
1733440441.0659418,13768000,6957.1376953125
1733440456.3288932,13784000,6838.525390625
1733440471.1518896,13800000,6878.8076171875
1733440486.2089512,13816000,6657.9169921875
1733440516.714984,13848000,7041.67626953125
1733440532.4771578,13864000,7197.9130859375
1733440547.39418,13880000,7588.2587890625
1733440577.117584,13912000,8268.232421875
1733440592.1592414,13928000,8107.33154296875
1733440607.2812028,13944000,8434.2216796875
1733440622.073666,13960000,8465.248046875
1733440637.279131,13976000,8438.1923828125
1733440652.274526,13992000,8428.8603515625
1733441118.7680593,14024000,8325.025390625
1733441134.2542024,14040000,7919.39208984375
1733441179.9608083,14088000,7489.7890625
1733441240.5723379,14152000,7928.47314453125
1733441286.1443317,14200000,8044.71826171875
1733441301.5297675,14216000,8151.365234375
1733441316.7519343,14232000,8168.2041015625
1733441347.513722,14264000,8408.2880859375
1733441362.932102,14280000,8667.18359375
1733441378.0361261,14296000,8692.7646484375
1733441393.7033162,14312000,8865.173828125
1733441423.56782,14344000,9336.248046875
1733441438.6726308,14360000,9469.8798828125
1733441453.602635,14376000,9540.5185546875
1733441513.5897794,14440000,9671.0498046875
1733442008.3087056,14504000,9862.513671875
1733442023.5846884,14520000,9862.513671875
1733442054.7516687,14552000,9947.0869140625
1733442070.1217928,14568000,9933.7216796875
1733442085.4763958,14584000,9933.7216796875
