Wall time,Step,Value
1733205604.0105712,10223616,8096.703613
1733205703.9015396,10289152,7280.291016
1733205804.3987126,10354688,7761.096191
1733205905.3510022,10420224,8727.567383
1733206006.132719,10485760,7850.329102
1733206586.6299102,10546272,7845.585449
1733206693.2011144,10616832,8335.22168
1733206791.8660321,10682368,8063.896484
1733206891.546078,10747904,7621.977539
1733206990.2242284,10813440,7764.041504
1733207092.4874282,10878976,7992.845215
1733207192,10944512,7909.712402
1733207293.6170828,11010048,7614.989258
1733207462.9278586,11046272,7668.394043
1733207591.1244643,11141120,8474.045898
1733207691.4884787,11206656,8012.527832
1733207794.7082295,11272192,8600.020508
1733207895.8286579,11337728,8960.929688
1733207996.5909512,11403264,8046.871582
1733208096.6872897,11468800,7999.269043
1733208196.5675478,11534336,7350.858887
1733208728.9825115,11546272,7730.461914
1733208880.2364917,11665408,8735.610352
1733208981.8510075,11730944,7267.683594
1733209077.2195675,11796480,7843.157715
1733209156.2393382,11862016,8975.464844
1733209234.9532378,11927552,7512.61084
1733209314.3280215,11993088,7282.815918
1733209783.5037062,12046272,7365.254395
1733209872.3894365,12124160,7369.388672
1733209951.3011608,12189696,7751.652344
1733210030.0702426,12255232,8014.97998
1733210109.0389054,12320768,8275.204102
1733210187.8438027,12386304,7699.721191
1733210266.6354527,12451840,7929.123535
1733210345.694608,12517376,8150.041504
1733210797.6671767,12546272,7781.688477
1733210905.1368008,12648448,7249.604004
1733210984.2356815,12713984,8340.428711
1733211063.2020795,12779520,7460.651855
1733211141.9875598,12845056,7765.23291
1733211221.131725,12910592,8599.90625
1733211300.3226483,12976128,7460.661621
1733211379.1778233,13041664,7631.522949
1733211811.3325405,13046272,7998.985352
1733211937.1718357,13172736,7962.45752
1733212015.9364743,13238272,7856.973633
1733212094.8925002,13303808,7834.372559
1733212174.0168297,13369344,7711.510742
1733212253.2376885,13434880,7218.404297
1733212332.5720835,13500416,8415.87207
1733212796.740777,13546272,7431.685547
1733212891.285162,13631488,7755.303711
1733212970.165486,13697024,7500.661133
1733213049.017796,13762560,7416.261719
1733213128.1827102,13828096,7320.087891
1733213207.4349866,13893632,7592.244629
1733213286.485695,13959168,7328.257324
1733213365.8737645,14024704,7797.17041
1733213815.4756267,14046272,8338.915039
1733213928.296303,14155776,9194.697266
1733214007.3800302,14221312,8388.821289
1733214086.5591605,14286848,7579.68457
1733214166.197164,14352384,8301.787109
1733214245.6577115,14417920,7807.89209
1733214327.6231663,14483456,7832.106445
1733214807.9168859,14546272,7517.647461
1733214889.610678,14614528,7640.566895
1733214968.719692,14680064,7747.581543
1733215048.3239067,14745600,7909.018066
1733215127.3066711,14811136,7230.578125
1733215206.5316038,14876672,7619.01123
1733215285.7125015,14942208,7767.367676
1733215364.9875119,15007744,7313.57666
1733215823.8795204,15046272,7475.229492
1733215924.8577182,15138816,8048.044922
1733216004.1097686,15204352,8219.115234
1733216083.6434755,15269888,7556.291992
1733216162.2691479,15335424,7782.282715
1733216240.507499,15400960,7593.481934
1733216319.9215996,15466496,7220.84375
1733216399.9488873,15532032,7335.058594
1733216842.966777,15546272,7210.946777
1733216961.9378476,15663104,7484.884766
1733217041.0215929,15728640,7646.826172
1733217120.4829235,15794176,7461.477539
1733217199.6764395,15859712,7334.833008
1733217278.742103,15925248,7312.639648
1733217357.7739618,15990784,7211.282227
1733217831.713203,16046272,7204.533203
1733217918.973023,16121856,7243.178711
1733217997.9686058,16187392,7366.871094
1733218077,16252928,7543.554199
1733218156.2922885,16318464,7045.657715
1733218235.4747746,16384000,7370.003418
1733218314.616488,16449536,7230.272461
1733218393.719217,16515072,7275.910156
1733218844.3390946,16546272,7314.487305
1733218950.002497,16646144,7137.189941
1733219029.945326,16711680,7356.597168
1733219108.9832249,16777216,7293.508789
1733219188.0122416,16842752,7111.571777
1733219267.5196526,16908288,7132.109863
1733219347.1359262,16973824,7153.606934
1733219426.1113045,17039360,7366.421387
1733219860.1449177,17046272,7601.607422
1733219985.2853723,17170432,7199.262695
1733220064.5661743,17235968,7105.430176
1733220144.1324553,17301504,7233.747559
1733220223.938391,17367040,7284.026367
1733220302.9890847,17432576,7995.795898
1733220382.259282,17498112,7340.999023
1733220846.7479405,17546272,7284.775879
1733220939.6205835,17629184,7141.957031
1733221018.7075164,17694720,7161.548828
1733221097.3810377,17760256,7352.177246
1733221176.7612293,17825792,7492.923828
1733221255.7667131,17891328,7414.088379
1733221334.5970225,17956864,7210.375488
1733221414.0449696,18022400,7105.95166
1733221858.2269583,18046272,7319.981445
1733221969.9564838,18153472,7528.182617
1733222048.6779602,18219008,7172.767578
1733222127.272092,18284544,7166.078125
1733222206.458514,18350080,7164.337891
1733222285.3523657,18415616,7348.092773
1733222364.1400826,18481152,7342.605469
1733222839.7682903,18546272,7229.015625
1733222919.1770775,18612224,7225.867676
1733222998.3190706,18677760,7209.422363
1733223077.3851452,18743296,7219.620117
1733223156.5781558,18808832,7413.505859
1733223235.4546227,18874368,7330.838867
1733223314.4380443,18939904,7283.301758
1733223393.4229376,19005440,7271.102051
1733223853.947535,19046272,7382.33252
1733223952.196449,19136512,7072.213379
1733224031.1638477,19202048,7286.876953
